,geoid,typology_old,medrent90,medrent00,medrent16,medhval90,medhval00,medhval16,percol90,percol00,percol16,pernwh90,pernwh00,pernwh16,perli90,perli00,perli16,per_rent_90,per_rent_00,per_rent16,pop00,pop16,asian_16_low,carcommuters_00,pre50_16,hhwch16,empd15,density16,aland,li16,afford90,belowmedcol90,abovemednwh,abovemedli,abovemedrent,vulnrisk90,vuln90,afford00,belowmedcol00,abovemednwh00,abovemedli00,abovemedrent00,vulnrisk00,vuln00,afford16,belowmedcol16,abovemednwh16,abovemedli16,abovemedrent16,vulnrisk16,vuln16,hotmarket90(127%-169%),hotmarket00(110%-207%),percol16.1,edudiff0016,abm_dif_0016,edudiff9000,abm_dif_9000,hinc90_NYU,hinc00_NYU,hinc16_NYU,hinc90,hinc00,hinc16,pct_ch_hinc90_00,pct_ch_hinc00_16,abm_inc_90_00,abm_inc_00_16,li16.1,gent90_00,gent00_16,Type_1.19,ch_all_li_count90_00,ch_all_li_count00_16,liloss9016,per_limove16,per_limove09,exclusion,popgrowth0016,Incch0016,li_hh_16,Typology_final_1.19.19,Type_binary
0,9001010101.0,MHI - At Risk of Exclusion,1001.0,1601.0,1510.0,500001.0,1000001.0,1494000.0,0.5162923126,0.3540713632,0.6195974946,0.06827215337999999,0.06608024029,0.14496612550000001,0.08930211524000001,0.08205764785,0.29796677829999996,0.1581595974,0.1281186784,0.18249258399999999,4661.0,4132.0,0.061713455949999996,0.6982758620999999,0.256875,0.30786350149999997,2467.0,0.0001260986405,32767998.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,1.0,1.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,0.0,0.61959749,0.2655261268,1.0,-0.1622209493,0.0,94647.0,188949.0,150655,173204.0093,273976.05,150655.0,0.5818112492999999,-0.4501161575,1.0,0.0,0.0,0.0,0.0,VHI - Super Gentrification or Exclusion,-19.55026245,136.0813599,0,0.6400990486,0.3994323015,0,0.0,0.5498838311,401.65921000000003,LI - At Risk of Gentrification,1.0
1,9001010102.0,MHI - Advanced Exclusion,1000.999968,1244.0,1628.0,500001.0059,1000000.0,2000000.0,0.619490385,0.74847662,0.7849779129000001,0.081150703,0.09897229800000001,0.1571633965,0.12292307,0.15290615,0.1651341319,0.109222487,0.10810811,0.1067285389,4476.0,4174.0,0.0,0.0,0.14607465,0.0,74.15811675,0.00012795771549999998,32620151.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,1.0,1.0,0.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,1.0,0.78497791,0.03650129,0.0,0.128986235,1.0,,,,274501.8267,290000.0,250000.0,0.056459270420000006,-0.137931034,1.0,0.0,0.0,0.0,0.0,VHI - Super Gentrification or Exclusion,48.47680664,-7.125137329,0,0.4056389332,0.5011153221,1,0.0,0.8620689655,213.51843,LI - At Risk of Gentrification,1.0
2,9001010201.0,MHI - Advanced Exclusion,1000.9999960000001,833.0,2113.0,499472.1825,1000000.0,2000000.0,0.602176842,0.70422536,0.7613892554999999,0.076997916,0.088500731,0.17119316760000003,0.11263287,0.09226859400000001,0.1826309115,0.15336697,0.13786408,0.22906155879999998,3435.0,3277.0,0.0,0.0,0.35267451,0.0,235.0924191,0.0002910491937,11259265.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,1.0,1.0,0.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,1.0,0.76138926,0.057163900000000004,0.0,0.102048518,1.0,,,,273595.1146,290000.0,212448.0,0.05996044724999999,-0.2674206793,1.0,0.0,0.0,0.0,0.0,VHI - Super Gentrification or Exclusion,-13.43575287,85.95057678,0,0.4642397463,0.3962181509,0,0.0,0.7325793103,180.98723,LI - At Risk of Gentrification,1.0
3,9001010202.0,MHI - Displacement of LI hh - Ongoing Exclusion,1001.0,1791.0,2250.0,500001.0,769300.0,1459900.0,0.5523809524000001,0.342163971,0.6628788114,0.07789179103999999,0.1307014182,0.26090875269999997,0.1191645044,0.11230187529999999,0.19562846420000002,0.15243902439999998,0.2137894174,0.25,5218.0,5546.0,0.12333213130000001,0.7481481481000001,0.17911227149999998,0.4261853448,500.0,0.000568576404,9754186.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,1.0,0.66287881,0.320714839,1.0,-0.2102169814,0.0,89564.0,108651.0,187875,157618.5186,157543.95,187875.0,-0.00047309519139999994,0.1925243735,0.0,1.0,0.0,0.0,0.0,VHI - Super Gentrification or Exclusion,38.88369751,-84.88815308,0,0.3480436504,0.4504249096,1,1.0,1.192524372,363.08643,LI - At Risk of Gentrification,1.0
4,9001010300.0,MHI - At Risk of Exclusion,1001.0,1967.0,1900.0,500001.0,1000001.0,2000001.0,0.6477508651,0.3577435179,0.8054460883,0.07482656095,0.10364077669999999,0.13781180980000002,0.07348350243,0.07478870507999999,0.21606804429999998,0.2935461485,0.2738336714,0.2815330923,4120.0,4049.0,0.04791306495,0.6342692585,0.4897832817,0.3665505226,5277.0,0.00042141991349999995,9607994.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,0.0,0.80544609,0.44770257210000003,1.0,-0.2900073472,0.0,101753.0,170028.0,221250,186207.992,246540.6,221250.0,0.3240065575,-0.1025818884,1.0,0.0,0.0,0.0,0.0,VHI - Super Gentrification or Exclusion,-19.13200378,58.64305115,0,0.3950261176,0.4935227931,1,0.0,0.8974181129,310.05765,LI - At Risk of Gentrification,1.0
5,9001010400.0,MHI - At Risk of Exclusion,1001.0,1414.0,2223.0,336900.0,430000.0,666900.0,0.30630151559999996,0.2473397353,0.5609699488000001,0.05451277955,0.1080922596,0.2131007314,0.2215025704,0.1649557608,0.24873344600000002,0.2861476239,0.2841451767,0.3072378039,5116.0,5847.0,0.04121771849,0.8539325843000001,0.2778517532,0.3692762186,1635.0,0.0021609072039999997,2705808.0,0,0.0,0.0,0.0,1.0,0,FALSE,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,1.0,0.56096995,0.31363021469999997,1.0,-0.05896178028,0.0,54015.0,77471.0,107965,98847.45042000001,112332.95,107965.0,0.1364273876,-0.03888396173999999,1.0,1.0,0.0,0.0,0.0,MHI - Ongoing Exclusion,-111.6838379,-128.0574036,1,0.4889724851,0.4977843761,1,1.0,0.9611160394,505.17764000000005,LI - At Risk of Gentrification,0.0
6,9001010500.0,LI - Not Losing Low-Income Households,869.0,1290.0,1767.0,307600.0,343600.0,585700.0,0.3188209843,0.2412645591,0.4419795275,0.2080889788,0.30508775039999997,0.4287603199,0.22770903050000002,0.1970655056,0.5229309201,0.7304545455,0.7135332253,0.765289247,5641.0,6050.0,0.11305785119999999,0.7079086116,0.40452453990000004,0.344214876,2996.0,0.0033380249600000003,1812449.0,1,0.0,0.0,1.0,1.0,1,1,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,1.0,1.0,FALSE,0.0,1.0,1.0,0.11827577660000001,-0.1229887825,0.0,-0.07755642525,0.0,40914.0,52971.0,65593,74791.04069,76807.95,65593.0,0.02696725912,-0.1460128874,0.0,0.0,0.0,0.0,0.0,MHI - Stable or Early Stage of Exclusion,63.70373535,70.09594727,0,0.6469773054,0.6353757381,0,1.0,0.8539871198,1265.4928,LI - At Risk of Gentrification,0.0
7,9001010600.0,LI - Not Losing Low-Income Households,811.0,1107.0,1834.0,404500.0,422700.0,706400.0,0.45394736840000005,0.3479020979,0.6920415163,0.24670763829999998,0.1882063882,0.2788235247,0.1940634128,0.1436790742,0.4039542973,0.6994906620999999,0.634083045,0.6370808482,2035.0,1700.0,0.1258823529,0.5860082305,0.6072980017,0.0808678501,10222.0,0.001924864608,883179.0,1,0.0,0.0,1.0,1.0,1,1,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,1.0,1.0,FALSE,0.0,1.0,1.0,0.2309579627,-0.1169441352,0.0,-0.10604527050000001,0.0,41573.0,75416.0,93810,76078.58916,109353.2,93810.0,0.43737155200000005,-0.14213758710000002,1.0,0.0,0.0,0.0,0.0,MHI - Stable or Early Stage of Exclusion,-138.1227722,42.98797607,0,0.4715455472,0.7674245238,1,0.0,0.8578624128,409.60965,LI - At Risk of Gentrification,0.0
8,9001010700.0,LI - Not Losing Low-Income Households,643.0,710.0,1276.0,454100.0,397800.0,681900.0,0.4037335286,0.2403913347,0.532815814,0.1520250998,0.2319682959,0.22654154899999998,0.1419736385,0.1325029609,0.48738494520000003,0.4405552203,0.4480225989,0.5259433985,3785.0,3730.0,0.05495978552,0.6339622642,0.38092643049999997,0.227004717,540.0,0.00201052155,1855240.0,1,0.0,0.0,0.0,0.0,1,FALSE,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,1.0,1.0,FALSE,0.0,0.0,1.0,0.1547647803,-0.08562655441,0.0,-0.1633421938,0.0,45115.0,52115.0,73831,82560.44881,75566.75,73831.0,-0.0847100392,-0.02296975814,0.0,1.0,0.0,0.0,0.0,MHI - Stable or Early Stage of Exclusion,116.7925415,-61.65319824,0,0.5617884398,0.2932572365,0,0.0,0.9770302415,826.6048599999999,LI - At Risk of Gentrification,0.0
9,9001010800.0,MHI - At Risk of Exclusion,1001.0,1495.0,1726.0,369600.0,488800.0,885500.0,0.420080591,0.3409468439,0.7349869609,0.09944079747000001,0.1329001772,0.24851895870000001,0.12002669210000001,0.1401924128,0.3171411753,0.3433962264,0.2942461763,0.3046937287,3386.0,3376.0,0.09389810427,0.6888178914,0.4941605839,0.3198090692,1464.0,0.001735107296,1945701.0,0,0.0,0.0,0.0,0.0,0,FALSE,0.0,1.0,0.0,1.0,1.0,0,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,1.0,1.0,0.17773638260000002,-0.1632104613,0.0,-0.07913374715,0.0,55730.0,86478.0,128494,101985.9043,125393.1,128494.0,0.22951403260000003,0.02472943068,1.0,1.0,0.0,0.0,0.0,MHI - Stable or Early Stage of Exclusion,44.4770813,-11.8097229,0,0.5243571997,0.1579830796,0,0.0,1.024729431,398.64645,LI - At Risk of Gentrification,0.0
